ParkName,Stars,SiteType,Facility_Area,Longtitude,Site,Reviews,Maximum_Number_of_People,Location,Pets,Latitude,Equiplength_or_Driveway
Joshua Tree,4.8,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.037641,"Map
,G01",31,15,Cottonwood Group,Pets Allowed,34.128715,0
Joshua Tree,4.8,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.037641,"Map
,G02",31,20,Cottonwood Group,Pets Allowed,34.128715,0
Joshua Tree,4.8,GROUP TENT ONLY AREA NONELECTRIC,Group Area,-116.037641,"Map
,G03",31,25,Cottonwood Group,Pets Allowed,34.128715,0
